phase,step_start,step_stop,rows,metric,median,p10,p90
1,1,8000,81,code_gradient_rms,2.0593333704965744e-09,1.7902033189187705e-09,2.556709066681151e-09
1,1,8000,81,code_scale_gradient_cosine,0.0139855882152915,-0.029523467645049095,0.09186093509197235
1,1,8000,81,scale_gradient_rms,3.79842912678896e-09,1.9998738221005397e-09,8.007149610023134e-09
1,1,8000,81,scale_over_code_gradient_rms,1.7509421110153198,1.0192792415618896,3.910839080810547
1,1,8000,81,bottleneck_projections,9.253930599740398e-07,4.983412612820421e-07,2.666730845335247e-06
1,1,8000,81,categorical_tail,1.5956139890096745e-07,7.991211519265747e-08,3.847287946390899e-07
1,1,8000,81,code_head,6.1535729933435934e-06,4.5578655054112825e-06,8.260511120730066e-06
1,1,8000,81,decoder_block_1,1.8219182219412953e-07,9.285946208904914e-08,6.806123937669599e-07
1,1,8000,81,decoder_block_2,1.5100639361283587e-07,7.798200598351613e-08,4.361403394740641e-07
1,1,8000,81,decoder_block_3,1.5405964969801692e-07,7.849995902653094e-08,3.969120800237238e-07
1,1,8000,81,decoder_block_4,1.5218301410043548e-07,7.428745015241678e-08,3.688131161558708e-07
1,1,8000,81,decoder_block_5,1.57303134655637e-07,7.992277990539023e-08,3.7471961192998275e-07
1,1,8000,81,distribution_encoder,1.4159652930580243e-08,8.15581391417363e-09,3.34969440066713e-08
1,1,8000,81,encoder_block_1,2.989392930959404e-07,1.5082785443796678e-07,9.33475224981382e-07
1,1,8000,81,encoder_block_10,3.984927018986978e-08,1.58586312668513e-08,1.5416831746870117e-07
1,1,8000,81,encoder_block_11,3.735288626225658e-08,1.4583182806448782e-08,1.351379910226732e-07
1,1,8000,81,encoder_block_12,3.640826303632685e-08,1.3929321964520462e-08,1.3368627439654524e-07
1,1,8000,81,encoder_block_13,3.459574207983565e-08,1.3692912567749565e-08,1.2803082637599813e-07
1,1,8000,81,encoder_block_2,1.439342275991464e-07,7.717840990643484e-08,4.966910804108113e-07
1,1,8000,81,encoder_block_3,1.0387562710171223e-07,5.017670887480891e-08,4.6079317577807077e-07
1,1,8000,81,encoder_block_4,7.912367310932389e-08,3.711296070939102e-08,3.7020623636057614e-07
1,1,8000,81,encoder_block_5,6.355573096933142e-08,2.818304165285532e-08,3.02591879523841e-07
1,1,8000,81,encoder_block_6,5.514812556171502e-08,2.4499643519590855e-08,2.6034452115288336e-07
1,1,8000,81,encoder_block_7,4.912798432166339e-08,2.1387319552535626e-08,2.355829831638372e-07
1,1,8000,81,encoder_block_8,4.5243755231071e-08,1.8758628896079176e-08,2.0531142745662397e-07
1,1,8000,81,encoder_block_9,4.1079930332495946e-08,1.6860457780760296e-08,1.706769139288914e-07
1,1,8000,81,input_and_queries,6.590496990631426e-07,3.1600071008310855e-07,1.946567248927328e-06
1,1,8000,81,none_parameter_tensors,0.0,0.0,0.0
1,1,8000,81,scale_head,3.5892743495523655e-06,1.572354875104838e-06,8.410822794685865e-06
2,8100,17000,90,code_gradient_rms,8.701247722342487e-09,4.085530669328818e-09,2.7606251684630946e-08
2,8100,17000,90,code_scale_gradient_cosine,0.07302607223391533,-0.005971476901322602,0.1758454635739327
2,8100,17000,90,scale_gradient_rms,7.3292156788085094e-09,4.067104386606957e-09,1.4174706652880787e-08
2,8100,17000,90,scale_over_code_gradient_rms,0.7391670942306519,0.3166386753320694,1.6628477334976197
2,8100,17000,90,bottleneck_projections,9.710321149511391e-07,5.747174933342347e-07,2.0416560502619745e-06
2,8100,17000,90,categorical_tail,8.297264208856689e-08,6.354770946134885e-08,1.1297624297933498e-07
2,8100,17000,90,code_head,6.38287752479739e-06,4.742083920422363e-06,7.850935393924944e-06
2,8100,17000,90,decoder_block_1,2.920469093612652e-07,1.3433891022115428e-07,9.852332324159293e-07
2,8100,17000,90,decoder_block_2,1.7486909868539163e-07,1.0123504569187468e-07,5.212111866008937e-07
2,8100,17000,90,decoder_block_3,1.2076711219092773e-07,8.364335696550195e-08,3.1706384484892133e-07
2,8100,17000,90,decoder_block_4,1.19283893852193e-07,7.52593767884012e-08,2.2206847580467514e-07
2,8100,17000,90,decoder_block_5,1.0398829638477364e-07,7.64741443376402e-08,1.4415762368881463e-07
