step_start,step_stop,rows,metric,median,p10,p90
93600,98500,50,code_gradient_rms,6.764808446746429e-08,5.7133312481028045e-08,9.7006370225472e-08
93600,98500,50,code_scale_gradient_cosine,0.06990385055541992,0.03422215282917023,0.16056452542543412
93600,98500,50,scale_gradient_rms,2.7533908486532255e-08,1.3764285267114929e-08,6.583011540328699e-08
93600,98500,50,scale_over_code_gradient_rms,0.4137336313724518,0.22000593990087508,0.6348090946674348
93600,98500,50,bottleneck_projections,5.064189352623095e-06,4.028607197538196e-06,8.015051679165454e-06
93600,98500,50,categorical_tail,3.433579533788316e-07,2.801972364804811e-07,7.724734521106695e-07
93600,98500,50,code_head,4.1190264775551175e-06,3.3185943517996396e-06,5.224736961110761e-06
93600,98500,50,decoder_block_1,3.5553693049144677e-06,2.7033495999184197e-06,6.9295720480162215e-06
93600,98500,50,decoder_block_2,1.966314425022788e-06,1.4412218449761666e-06,4.11859711571874e-06
93600,98500,50,decoder_block_3,1.5364861173482023e-06,1.1220854572204502e-06,3.225948119669525e-06
93600,98500,50,decoder_block_4,1.056886568364621e-06,7.827333501811103e-07,2.2267679807415357e-06
93600,98500,50,decoder_block_5,5.483910636422342e-07,4.138526502653998e-07,1.1430277741468506e-06
93600,98500,50,distribution_encoder,2.845550354996759e-07,1.2296958844892207e-07,7.73472094512699e-07
93600,98500,50,encoder_block_1,8.235113366967586e-07,6.268774406906568e-07,1.1632922745569418e-06
93600,98500,50,encoder_block_10,3.346254167323456e-08,2.6827865157943177e-08,5.304002245477242e-08
93600,98500,50,encoder_block_11,3.488347465203325e-08,2.921886391659264e-08,5.496060984560522e-08
93600,98500,50,encoder_block_12,4.6636508419780196e-08,3.8448986280852836e-08,6.972035942223049e-08
93600,98500,50,encoder_block_13,6.526302215347964e-08,5.4401400813310574e-08,9.312056773047345e-08
93600,98500,50,encoder_block_2,4.902213304798076e-08,3.9790312848610905e-08,7.572389917103852e-08
93600,98500,50,encoder_block_3,4.391476166432909e-08,3.6890165979914805e-08,6.627629157442711e-08
93600,98500,50,encoder_block_4,3.872751328352806e-08,3.1503750379940726e-08,6.381828582547488e-08
93600,98500,50,encoder_block_5,3.7006137307427876e-08,2.9633084449125024e-08,6.040896761780503e-08
93600,98500,50,encoder_block_6,3.313942291332912e-08,2.6523739357241148e-08,5.279588157518023e-08
93600,98500,50,encoder_block_7,3.4630630565833396e-08,2.703616589652729e-08,4.9405689720655244e-08
93600,98500,50,encoder_block_8,3.379358354671024e-08,2.702296906709654e-08,5.16424429787323e-08
93600,98500,50,encoder_block_9,3.334754892524836e-08,2.6842402886390004e-08,5.1072947288840673e-08
93600,98500,50,input_and_queries,5.66753704330843e-06,4.44576614716412e-06,8.279955596873395e-06
93600,98500,50,none_parameter_tensors,0.0,0.0,0.0
93600,98500,50,scale_head,9.88889188626322e-07,6.955942093263259e-07,1.7754473280614922e-06
