phase,step_start,step_stop,complete_1k_bins,metric,median_of_bin_medians,first_bin_median,last_bin_median,theil_sen_slope_per_1000_steps
1,1,8000,8,loss,0.08492287620902061,0.08556883037090302,0.0846656784415245,-0.00010881097987294197
1,1,8000,8,code_ordinal_loss,0.08269220776855946,0.08274680376052856,0.08269678801298141,-2.77316818634669e-06
1,1,8000,8,scale_ordinal_loss,0.0024652036954648793,0.0029953180346637964,0.002176459413021803,-0.00011634688070487409
1,1,8000,8,scale_loss_fraction,0.029051398907938925,0.03502736385543552,0.02548554633785064,-0.0014024742927543684
1,1,8000,8,code_accuracy,0.1695675067603588,0.16990680992603302,0.1685633286833763,-0.0003340017050504684
1,1,8000,8,code_off_by_one_accuracy,0.47270144522190094,0.47327184677124023,0.4701308459043503,-0.00044873889003481187
1,1,8000,8,code_mean_absolute_bin_error,1.9421577751636505,1.9402449131011963,1.9474555850028992,0.0014477953314781188
1,1,8000,8,scale_accuracy,0.06658834777772427,0.0613839291036129,0.06892720237374306,0.0010140081867575645
1,1,8000,8,scale_off_by_one_accuracy,0.1958659142255783,0.1837349385023117,0.2026209682226181,0.0024787113070487976
1,1,8000,8,scale_mean_absolute_bin_error,5.6696189641952515,6.064316749572754,5.433125972747803,-0.09366077184677124
1,1,8000,8,hard_decode_raw_nrmse,1.0007931590080261,1.0013549327850342,1.00048828125,-6.067007780075073e-05
1,1,8000,8,diagnostic_old_behavioral_operator_actual,0.026631006971001625,0.02698066085577011,0.0258763637393713,-0.00022466903707633418
1,1,8000,8,operator_over_teacher_floor,22.056823284874266,21.853600522615984,22.29095471874712,0.0017927107676456444
1,1,8000,8,diagnostic_old_behavioral_direction,0.9502861201763153,0.9811323881149292,0.9361765384674072,-0.005349732935428619
1,1,8000,8,diagnostic_old_structural_direction,0.9483551532030106,0.9664095044136047,0.9437524676322937,-0.002782511214415232
1,1,8000,8,diagnostic_old_direction_contrastive_loss,0.7872096449136734,0.8773645758628845,0.7852047979831696,-0.01227905849615733
1,1,8000,8,diagnostic_old_direction_contrastive_top1_accuracy,0.6077294796705246,0.42105263471603394,0.6220238208770752,0.02494643082221349
1,1,8000,8,contrastive_chance_top1,0.391304347826087,0.391304347826087,0.3888888888888889,-0.00017253278122843416
1,1,8000,8,contrastive_top1_advantage,0.21739133285439532,0.037037032621878185,0.24404763040088473,0.025530532080605572
1,1,8000,8,diagnostic_old_direction_contrastive_diagonal_minus_hardest_negative_mean,0.021328084636479616,-1.1731109225365799e-05,0.024071981199085712,0.003343226174668719
1,1,8000,8,diagnostic_old_latent_interaction_rms_ratio,0.29037393629550934,0.03709814324975014,0.35648348927497864,0.0550339271624883
1,1,8000,8,latent_interaction_rms_estimate,0.43900479484787436,0.05912697016115587,0.5864652230865879,0.09025799455666625
1,1,8000,8,diagnostic_old_latent_rms,1.5738229155540466,1.5918362140655518,1.6528044939041138,0.007590562956673759
1,1,8000,8,grad_norm_pre_clip,0.00569517130497843,0.01462146732956171,0.004643720341846347,-0.0008881423467149337
1,1,8000,8,teacher_continuous_scale_raw_nrmse,0.16244078055024147,0.16226884722709656,0.1622367724776268,8.699353784322739e-05
1,1,8000,8,teacher_continuous_scale_operator_metric,0.00122236690367572,0.0012407999020069838,0.0011956178932450712,-7.353349550006291e-06
1,1,8000,8,steps_per_second,1.21167605320234,1.1122782660359534,1.2404991220051687,0.015760322448220454
1,1,8000,8,gptq_tokenizer_seconds,0.021558298729360104,0.021428820677101612,0.021304270951077342,4.310943962385257e-05
2,8010,17000,9,loss,0.08405819535255432,0.08464913442730904,0.08259502053260803,-0.00024450175641548065
2,8010,17000,9,code_ordinal_loss,0.0817769467830658,0.08230676874518394,0.08072306960821152,-0.00017447439687592642
2,8010,17000,9,scale_ordinal_loss,0.0022437272127717733,0.0023279307642951608,0.0018766216235235333,-6.744259319800352e-05
2,8010,17000,9,scale_loss_fraction,0.026695186051895345,0.027255619483842107,0.022603789996509013,-0.0007327899724592169
2,8010,17000,9,code_accuracy,0.17042697966098785,0.17001808434724808,0.17056724429130554,-2.1268569287799654e-05
2,8010,17000,9,code_off_by_one_accuracy,0.4748004525899887,0.47352614998817444,0.4754209369421005,5.231574177742004e-05
2,8010,17000,9,code_mean_absolute_bin_error,1.9311063885688782,1.938220202922821,1.9228267073631287,-0.0014716863632202148
2,8010,17000,9,scale_accuracy,0.06853693723678589,0.06689202412962914,0.07462149858474731,0.0012844207563570567
2,8010,17000,9,scale_off_by_one_accuracy,0.20268410444259644,0.19797328114509583,0.22089160233736038,0.003785305612144016
2,8010,17000,9,scale_mean_absolute_bin_error,5.511182546615601,5.620150804519653,5.019245386123657,-0.08956258637564524
2,8010,17000,9,hard_decode_raw_nrmse,0.9945794939994812,1.0001301169395447,0.9790055453777313,-0.002624688670039177
2,8010,17000,9,diagnostic_old_behavioral_operator_actual,0.025257332250475883,0.02544388175010681,0.023579303175210953,-0.0003774729424289295
2,8010,17000,9,operator_over_teacher_floor,20.816223702530888,21.52718100403746,18.833655201280244,-0.32921576401404584
2,8010,17000,9,diagnostic_old_behavioral_direction,0.8965815603733063,0.9260510504245758,0.8181716799736023,-0.01340086820224921
2,8010,17000,9,diagnostic_old_structural_direction,0.9306563436985016,0.9392837285995483,0.894975870847702,-0.005461433902382851
2,8010,17000,9,diagnostic_old_direction_contrastive_loss,0.7048971354961395,0.7460138499736786,0.631474643945694,-0.012444016834100088
2,8010,17000,9,diagnostic_old_direction_contrastive_top1_accuracy,0.6818181872367859,0.6315789222717285,0.699999988079071,0.007262620329856873
2,8010,17000,9,contrastive_chance_top1,0.4,0.4,0.4,-0.0017786561264822144
2,8010,17000,9,contrastive_top1_advantage,0.2727272700179707,0.2272727381099354,0.2916666865348816,0.009228113695010318
2,8010,17000,9,diagnostic_old_direction_contrastive_diagonal_minus_hardest_negative_mean,0.04115353338420391,0.02802765741944313,0.08242331817746162,0.006644901353865862
2,8010,17000,9,diagnostic_old_latent_interaction_rms_ratio,0.44354236125946045,0.36751246452331543,0.52044478058815,0.018659327179193497
2,8010,17000,9,latent_interaction_rms_estimate,0.8420024013039473,0.6244153690033265,1.1232972177406637,0.06188484559984046
2,8010,17000,9,diagnostic_old_latent_rms,1.890008807182312,1.6942166090011597,2.1622109413146973,0.058075783153374985
2,8010,17000,9,grad_norm_pre_clip,0.0055603208020329475,0.005043810466304421,0.009315465111285448,0.0005746124273476501
2,8010,17000,9,teacher_continuous_scale_raw_nrmse,0.16269215196371078,0.16284382343292236,0.16275468468666077,2.1296819405896323e-05
2,8010,17000,9,teacher_continuous_scale_operator_metric,0.0012163171195425093,0.001209757407195866,0.001261209836229682,6.096137803979218e-06
