bin_end,rows,step_min,step_max,step,code_gradient_rms,code_scale_gradient_cosine,scale_gradient_rms,scale_over_code_gradient_rms,bottleneck_projections,categorical_tail,code_head,decoder_block_1,decoder_block_2,decoder_block_3,decoder_block_4,decoder_block_5,distribution_encoder,encoder_block_1,encoder_block_10,encoder_block_11,encoder_block_12,encoder_block_13,encoder_block_2,encoder_block_3,encoder_block_4,encoder_block_5,encoder_block_6,encoder_block_7,encoder_block_8,encoder_block_9,input_and_queries,none_parameter_tensors,scale_head,complete
1000,11,1,1000,500.0,2.5275799231394558e-09,0.034555260092020035,5.625806043241255e-09,2.2515621185302734,2.1825325906144637e-06,4.649731223979433e-07,8.094873161648754e-06,7.223394765529461e-07,4.928676484513859e-07,4.735283410647612e-07,4.4922783989161785e-07,4.6338036336147915e-07,3.34969440066713e-08,8.604608893131052e-07,1.5416831746870117e-07,1.351379910226732e-07,1.242383577750715e-07,1.097892056705039e-07,4.966910804108113e-07,4.954759904464127e-07,4.6843163169706106e-07,3.7241590339168467e-07,3.0543385205388824e-07,2.4785682866528237e-07,2.0531142745662397e-07,1.706769139288914e-07,1.5153538529975727e-06,0.0,8.399503660036966e-06,True
2000,10,1100,2000,1550.0,1.9259771555368843e-09,0.038490915670990944,4.768311301361905e-09,2.0503965616226196,2.0016241720736343e-06,3.2795985309350204e-07,7.315470726900813e-06,5.015860183741498e-07,3.3714134480207595e-07,3.2359401384436e-07,3.123941224287099e-07,3.225230354027951e-07,1.490570678210273e-08,6.406967461067206e-07,1.1710122929985831e-07,1.1007751532265857e-07,1.0718559453116654e-07,1.00163542519462e-07,4.0437672979576624e-07,3.377858270001495e-07,2.5974184390368774e-07,2.047879258402656e-07,1.7113363692724808e-07,1.5217764676155484e-07,1.3825462854503816e-07,1.2406966256733384e-07,1.3437060939452438e-06,0.0,6.194987212974722e-06,True
3000,10,2100,3000,2550.0,1.972407348560523e-09,0.0013379318988882005,3.3762550533111835e-09,1.6196333765983582,1.3972326662959627e-06,2.2145031829582202e-07,6.493357625064117e-06,2.8400158922715284e-07,2.137245137230667e-07,2.1216827271782768e-07,2.0966207664726187e-07,2.160317842733707e-07,1.1870305825620935e-08,4.362690927706643e-07,7.057073908885702e-08,6.697389293022181e-08,6.602945969745877e-08,6.219496649251667e-08,2.435441107634376e-07,2.0387394811035988e-07,1.481406685590058e-07,1.118137398368292e-07,9.585430112966487e-08,8.422400057693423e-08,7.821666411815907e-08,7.16684984230081e-08,8.43499517623205e-07,0.0,4.25051189526261e-06,True
4000,10,3100,4000,3550.0,1.88563453740187e-09,0.0050928327254951,3.64060082080897e-09,1.9152032732963562,9.49339088230133e-07,1.704175663584101e-07,5.301900487109367e-06,1.9225818287412733e-07,1.5557185017069516e-07,1.574555213115396e-07,1.5834214983732776e-07,1.6604277553023535e-07,1.0862085739861507e-08,3.0648283550759184e-07,4.7378016388893626e-08,4.564284825583294e-08,4.561286162795572e-08,4.2988379316433284e-08,1.5646622065023604e-07,1.1143003638642282e-07,8.461649539740426e-08,6.893109683004647e-08,6.146833011876083e-08,5.560069821085915e-08,5.185707882982166e-08,4.8122688642053733e-08,5.856767577327227e-07,0.0,3.736166060475538e-06,True
5000,10,4100,5000,4550.0,2.2455914905350483e-09,-0.012402018532156944,3.770442846828814e-09,1.6989009380340576,8.191743395809188e-07,1.3355240489179034e-07,5.904641161796605e-06,1.404345308626188e-07,1.1142518232796687e-07,1.1815130358511534e-07,1.212318755509017e-07,1.3194409604605602e-07,1.4103716105303663e-08,2.711291856946941e-07,3.54625102654487e-08,3.2544585512873455e-08,3.135019022455153e-08,2.882130930353147e-08,1.4111900956414617e-07,1.0253385757958909e-07,7.590895365421533e-08,5.697235701607097e-08,4.947005848645456e-08,4.4264386595799444e-08,4.0544494591155154e-08,3.711018271598519e-08,5.452248557530914e-07,0.0,2.8360496670013175e-06,True
6000,10,5100,6000,5550.0,1.9937047568419075e-09,0.01664516655728221,2.75097811197611e-09,1.320047378540039,5.531968010014162e-07,9.989504210961938e-08,5.379930781330458e-06,1.0458973259348959e-07,8.621983738852941e-08,9.274583967488003e-08,9.3327767359933e-08,9.970448682835646e-08,1.4062302608875551e-08,1.763883678436225e-07,2.1139429211471893e-08,1.9305268931880925e-08,1.8238435597599304e-08,1.712612780742275e-08,9.652441234946773e-08,6.365318346247165e-08,4.694142266129607e-08,3.553081771433407e-08,3.137990583385585e-08,2.7425174276238896e-08,2.5302871442811424e-08,2.2626661202992593e-08,3.998052596635273e-07,0.0,1.935428646213339e-06,True
7000,10,6100,7000,6550.0,2.195680415262302e-09,0.01272557768970728,3.307319973444578e-09,1.6464384198188782,5.917623138693179e-07,9.72904914874188e-08,5.789993279142123e-06,1.0452338843451454e-07,8.778855204365153e-08,9.00981221120094e-08,8.93527648434399e-08,9.69383869208945e-08,1.1089601537063906e-08,1.72304311904616e-07,1.6845365002106237e-08,1.5514770433453153e-08,1.4849974097225184e-08,1.48541390307093e-08,8.606771752354149e-08,5.538642562304023e-08,4.111999808210456e-08,3.0314186032615046e-08,2.6359832599666575e-08,2.286697284741482e-08,2.0457295641035716e-08,1.817107719840058e-08,4.2032955415901527e-07,0.0,2.521557307056492e-06,True
8000,10,7100,8000,7550.0,2.2422232959229405e-09,0.007012632442638278,3.944945925482557e-09,1.7002649307250977,6.768160644440932e-07,7.931972185632758e-08,5.291356636636946e-06,9.393722595911928e-08,7.801424336676456e-08,8.043019139633462e-08,7.515853011841614e-08,8.043261701062267e-08,2.0922759216331077e-08,1.8706469895284672e-07,1.4569621399508472e-08,1.3856000445887352e-08,1.3450362081257102e-08,1.359756248550562e-08,8.012040938759773e-08,5.065726762500898e-08,3.634417264501117e-08,2.6985891242489515e-08,2.318164342380372e-08,1.996297828042817e-08,1.7644623758997305e-08,1.5677348294172416e-08,5.517027746893019e-07,0.0,2.6887726783315903e-06,True
9000,10,8100,9000,8550.0,3.2251712411834887e-09,0.09373780712485313,4.719380664042205e-09,1.468901813030243,6.987487277292846e-07,8.105851829922143e-08,6.016918065423884e-06,1.1841118624495878e-07,9.325979910661317e-08,8.55371950335416e-08,7.956583768959893e-08,8.375006063505482e-08,1.4777714763965715e-08,2.0882050181821165e-07,1.3174555240701135e-08,1.2432822217758164e-08,1.2196341695594057e-08,1.2799218986990316e-08,6.387718653583082e-08,4.4398578482879425e-08,3.2499331920223895e-08,2.3386056294847834e-08,1.982521151156575e-08,1.7454569695382006e-08,1.5702123114157932e-08,1.4194393229417576e-08,5.777338100350141e-07,0.0,2.4618606655014033e-06,True
10000,10,9100,10000,9550.0,5.063108599046018e-09,0.05112128332257271,7.096796261762961e-09,1.4007276892662048,7.831679024607801e-07,8.74998848024142e-08,6.466102762492519e-06,1.5920347378791467e-07,1.215447545279563e-07,1.0225029650595612e-07,9.235957856019667e-08,9.22413487019465e-08,2.083045162365818e-08,2.5481314066689985e-07,1.2911063053453436e-08,1.270225035010652e-08,1.369975480666227e-08,1.532213767574706e-08,6.906812452065587e-08,4.796382129965646e-08,3.5309513850990964e-08,2.4696175889811107e-08,2.0203868198473095e-08,1.7070998857849747e-08,1.508499876275009e-08,1.3618163720031683e-08,8.469854995313411e-07,0.0,2.563831859239476e-06,True
