bin_end,rows,step_min,step_max,code_accuracy,code_mean_absolute_bin_error,code_mean_squared_bin_error,code_off_by_one_accuracy,code_ordinal_loss,code_prediction_entropy,code_prediction_high_boundary_fraction,code_prediction_low_boundary_fraction,code_target_high_boundary_fraction,code_target_low_boundary_fraction,code_valid_count,committed_logical_index,cuda_peak_gib,diagnostic_old_behavioral,diagnostic_old_behavioral_direction,diagnostic_old_behavioral_operator,diagnostic_old_behavioral_operator_actual,diagnostic_old_behavioral_scale,diagnostic_old_direction_contrastive_diagonal_minus_hardest_negative_mean,diagnostic_old_direction_contrastive_diagonal_similarity_mean,diagnostic_old_direction_contrastive_eligible_fraction,diagnostic_old_direction_contrastive_eligible_samples,diagnostic_old_direction_contrastive_group_count,diagnostic_old_direction_contrastive_group_size_max,diagnostic_old_direction_contrastive_group_size_median,diagnostic_old_direction_contrastive_group_size_min,diagnostic_old_direction_contrastive_loss,diagnostic_old_direction_contrastive_offdiagonal_similarity_mean,diagnostic_old_direction_contrastive_top1_accuracy,diagnostic_old_latent_anticollapse_loss,diagnostic_old_latent_cross_active_fraction,diagnostic_old_latent_cross_std_median,diagnostic_old_latent_cross_std_min,diagnostic_old_latent_cross_std_p10,diagnostic_old_latent_interaction_rms_ratio,diagnostic_old_latent_rms,diagnostic_old_latent_within_active_fraction,diagnostic_old_latent_within_std_median,diagnostic_old_latent_within_std_min,diagnostic_old_latent_within_std_p10,diagnostic_old_legacy_task_loss,diagnostic_old_structural,diagnostic_old_structural_direction,diagnostic_old_structural_reconstruction,diagnostic_old_structural_relational,diagnostic_old_structural_scale,elapsed_seconds,gptq_tokenizer_seconds,grad_norm_pre_clip,hard_decode_raw_nrmse,learning_rate,loss,scale_accuracy,scale_mean_absolute_bin_error,scale_mean_squared_bin_error,scale_off_by_one_accuracy,scale_ordinal_loss,scale_prediction_entropy,scale_prediction_high_boundary_fraction,scale_prediction_low_boundary_fraction,scale_target_high_boundary_fraction,scale_target_low_boundary_fraction,scale_valid_count,step,steps_per_second,teacher_binned_scale_calibration_operator_metric,teacher_binned_scale_heldout_operator_metric,teacher_binned_scale_operator_metric,teacher_binned_scale_raw_nrmse,teacher_continuous_scale_calibration_operator_metric,teacher_continuous_scale_heldout_operator_metric,teacher_continuous_scale_operator_metric,teacher_continuous_scale_raw_nrmse,teacher_scale_binning_relative_error_p50,teacher_scale_binning_relative_error_p99,teacher_scale_log2_max,teacher_scale_log2_min,contrastive_chance_top1,contrastive_top1_advantage,latent_interaction_rms_estimate,scale_loss_fraction,operator_over_teacher_floor,behavioral_direction_alignment,structural_direction_alignment,local_steps_per_second,complete
1000,101,1,1000,0.16990680992603302,1.9402449131011963,6.267612934112549,0.47327184677124023,0.08274680376052856,0.7344208359718323,0.0,0.0,0.0078092594631016254,0.006231839302927256,1.0,16000.0,13.843119144439697,14.838991165161133,0.9811323881149292,0.0,0.02698066085577011,1.3864014148712158,-1.1731109225365799e-05,0.00390407326631248,0.65625,21.0,8.0,4.0,2.0,2.0,0.8773645758628845,0.0013426922960206866,0.42105263471603394,0.06329812109470367,1.0,0.03684498742222786,0.03375576436519623,0.03479127585887909,0.03709814324975014,1.5918362140655518,1.0,0.03528307378292084,0.025890778750181198,0.02794271521270275,29.124710083007812,14.182257652282715,0.9664095044136047,0.0,0.0,1.3206841945648193,396.1419319449924,0.021428820677101612,0.01462146732956171,1.0013549327850342,5e-05,0.08556883037090302,0.0613839291036129,6.064316749572754,73.25564575195312,0.1837349385023117,0.0029953180346637964,0.1896195262670517,0.0,0.0,0.0,0.0,1.0,500.0,1.1122782660359534,0.0011521977139636874,0.0014024856500327587,0.001285475678741932,0.1624990999698639,0.0011080647818744183,0.0013643107376992702,0.0012407999020069838,0.16226884722709656,0.008156132884323597,0.016145464032888412,-3.154658794403076,-9.48928451538086,0.391304347826087,0.037037032621878185,0.05912697016115587,0.03502736385543552,21.853600522615984,0.0188676118850708,0.033590495586395264,1.8437106853001621,True
2000,100,1010,2000,0.17070703953504562,1.9405556321144104,6.273641347885132,0.4732183516025543,0.0826876275241375,0.7333055436611176,0.0,0.0,0.007928302977234125,0.006264117080718279,1.0,48160.0,13.846033573150635,14.563671112060547,0.9668681621551514,0.0,0.027605262584984303,1.359897255897522,0.004542919108644128,0.012803759425878525,0.65625,21.0,8.0,4.0,2.0,2.0,0.8535594046115875,0.0019781803712248802,0.47999998927116394,0.03788513317704201,1.0,0.06114283204078674,0.05015673115849495,0.05293392762541771,0.06319557875394821,1.5806918740272522,1.0,0.05848751775920391,0.040988389402627945,0.047806503251194954,28.104336738586426,13.662261486053467,0.9602356851100922,0.0,0.0,1.2713335752487183,1327.4207660066895,0.021573267644271255,0.010508233681321144,1.0009827613830566,5e-05,0.08528261631727219,0.06286337226629257,5.9385902881622314,68.300048828125,0.19094447046518326,0.002701090299524367,0.19100750237703323,0.0,0.0,0.0,0.0,1.0,1505.0,1.125481645793935,0.0011424280819483101,0.0014119650004431605,0.0012883011950179935,0.162599578499794,0.0010884608491323888,0.001360459194984287,0.00123250437900424,0.1622898355126381,0.008161786943674088,0.016141101717948914,-3.165600895881653,-9.524536609649658,0.391304347826087,0.09761906181062971,0.09986527135059609,0.031833706326666864,22.518485368558387,0.03313183784484863,0.03976431488990784,1.8314190428116994,True
3000,100,2010,3000,0.1702619269490242,1.9357647895812988,6.248217821121216,0.4739644378423691,0.0823592022061348,0.732769250869751,0.0,0.0,0.007861151359975338,0.006257425295189023,1.0,80160.0,13.846033573150635,13.87387228012085,0.9603646695613861,0.0,0.027337128296494484,1.2913172245025635,0.01263854606077075,0.023517814464867115,0.65625,21.0,8.0,4.0,2.0,2.0,0.7966547608375549,0.001904534234199673,0.5555555820465088,0.0009213623707182705,0.1875,0.14158491790294647,0.08415790647268295,0.09353181347250938,0.1593586429953575,1.5618557333946228,0.03125,0.15575436502695084,0.09987473860383034,0.12702757865190506,26.62327480316162,12.941803932189941,0.954254686832428,0.0,0.0,1.19921875,1992.136285580229,0.02143367100507021,0.007364068413153291,1.0007820129394531,5e-05,0.08512803912162781,0.06548410654067993,5.828794956207275,65.0090217590332,0.19182566553354263,0.0026207396294921637,0.18895266950130463,0.0,0.0,0.0,0.0,1.0,2505.0,1.2574430888971815,0.0011450485326349735,0.0013941442593932152,0.001278038660530001,0.16203346103429794,0.0011024627601727843,0.0013523377128876746,0.0012382377171888947,0.16174419969320297,0.008138424251228571,0.016139423474669456,-3.131572723388672,-9.522583484649658,0.391304347826087,0.15000000596046448,0.24910883829232056,0.031104918778682714,22.33122189171486,0.03963533043861389,0.04574531316757202,1.9279606331096915,True
4000,100,3010,4000,0.17031998932361603,1.9388301372528076,6.259205341339111,0.4738907665014267,0.08234256878495216,0.7328261733055115,0.0,0.0,0.007865232415497303,0.00623271195217967,1.0,112160.0,13.846033573150635,12.661468982696533,0.9505806267261505,0.0,0.026580264791846275,1.1711367964744568,0.022274373099207878,0.03199179284274578,0.65625,21.0,8.0,4.0,2.0,2.0,0.7592287063598633,0.004600924672558904,0.6150793731212616,0.0,0.0,0.22572682052850723,0.13065990060567856,0.14595815539360046,0.2617845982313156,1.5032770037651062,0.0,0.25106362998485565,0.1682000830769539,0.20182117819786072,24.41217803955078,12.01927137374878,0.9466040730476379,0.0,0.0,1.1069068908691406,2752.644055582583,0.021543329814448953,0.005624005803838372,1.0007357001304626,5e-05,0.08497372269630432,0.06661443412303925,5.7930943965911865,67.44855880737305,0.1942661851644516,0.002576458966359496,0.21051562577486038,0.0,0.0,0.0,0.0,1.0,3505.0,1.3115036819907981,0.0011415010667406023,0.0013948697596788406,0.0012753267074003816,0.16296042501926422,0.0010877634049393237,0.0013494735467247665,0.0012275231420062482,0.1626230776309967,0.008170090615749359,0.016140169464051723,-3.1461397409439087,-9.514709949493408,0.3956521739130435,0.2222222155994839,0.39110867943629835,0.030466714240846036,21.743787612987376,0.04941937327384949,0.05339592695236206,1.846848487702769,True
5000,100,4010,5000,0.1692282035946846,1.9454037547111511,6.28714394569397,0.47147679328918457,0.08271800726652145,0.7329389154911041,0.0,0.0,0.0077600376680493355,0.006198644870892167,1.0,144160.0,13.846033573150635,12.379549026489258,0.9493285417556763,0.0,0.026572921313345432,1.1425653100013733,0.0212236475199461,0.031027410179376602,0.65625,21.0,8.0,4.0,2.0,2.0,0.7692524790763855,0.0032112596090883017,0.6111111044883728,0.0,0.0,0.29026658833026886,0.15358418971300125,0.17044417560100555,0.31896327435970306,1.5322778820991516,0.0,0.28308553993701935,0.1906208172440529,0.22823551297187805,24.346269607543945,11.965755462646484,0.9471597969532013,0.0,0.0,1.1037954092025757,3319.8200774225406,0.02203271444886923,0.005766336806118488,1.0008043050765991,5e-05,0.08487202972173691,0.06656226143240929,5.546143531799316,60.45509910583496,0.19746564328670502,0.0023539484245702624,0.21393102407455444,0.0,0.0,0.0,0.0,1.0,4505.0,1.3570008747031594,0.0010704939486458898,0.001391666301060468,0.0012506344355642796,0.16304467618465424,0.0010426881490275264,0.0013606047723442316,0.001217210665345192,0.16269748657941818,0.008145684376358986,0.01614597998559475,-3.1514852046966553,-9.57312822341919,0.4,0.22727272456342523,0.48690091025945037,0.027636083575031813,22.07461374070813,0.05067145824432373,0.052840203046798706,1.8941873207374065,True
6000,100,5010,6000,0.16828062385320663,1.948274314403534,6.292223930358887,0.470175102353096,0.0827595442533493,0.7328015565872192,0.0,0.0,0.007759063737466931,0.006185726262629032,1.0,176160.0,13.846033573150635,12.632341384887695,0.9499916136264801,0.0,0.026681749150156975,1.168186068534851,0.021432521753013134,0.03148403763771057,0.65625,21.0,8.0,4.0,2.0,2.0,0.7892144918441772,0.002504406962543726,0.6043478548526764,0.0,0.0,0.3227790892124176,0.17546412348747253,0.19712337106466293,0.3501554876565933,1.566953957080841,0.0,0.30329857766628265,0.21993138641119003,0.23834997415542603,24.84446144104004,12.189271926879883,0.9472077190876007,0.0,0.0,1.1248599886894226,4953.083774659084,0.02199753886088729,0.0050810344982892275,1.0008181929588318,5e-05,0.0848601795732975,0.06853624060750008,5.472029209136963,57.47645568847656,0.20101208239793777,0.002205445314757526,0.2179429605603218,0.0,0.0,0.0,0.0,1.0,5505.0,1.143776160844817,0.0010446908418089151,0.00137656694278121,0.0012225053505972028,0.16284723579883575,0.0010141030652448535,0.001354552572593093,0.0011955612571910024,0.16259172558784485,0.008108857553452253,0.016140351071953773,-3.0740890502929688,-9.604897022247314,0.391304347826087,0.2173913380374079,0.5479466276755218,0.02568461834144651,21.911794803260182,0.0500083863735199,0.05279228091239929,1.7804290316456468,True
7000,100,6010,7000,0.16894879192113876,1.9437599182128906,6.288961887359619,0.47218453884124756,0.0826343335211277,0.732673168182373,0.0,0.0,0.007713856874033809,0.006190380081534386,1.0,208160.0,13.846033573150635,12.53207778930664,0.9448102116584778,0.0,0.02638739626854658,1.158854901790619,0.02170096244663,0.030654361471533775,0.65625,21.0,8.0,4.0,2.0,2.0,0.7835635542869568,0.00413417792879045,0.6111111044883728,0.0,0.0,0.3469727486371994,0.1928776130080223,0.2112261801958084,0.3746172934770584,1.6130487322807312,0.0,0.3328532576560974,0.23018688708543777,0.25997769832611084,24.66808319091797,12.277517318725586,0.9495025873184204,0.0,0.0,1.1333969831466675,5499.4146691442,0.021813513478264213,0.005019725300371647,1.0007709860801697,5e-05,0.08472255244851112,0.06736651808023453,5.461322784423828,56.939653396606445,0.19938422739505768,0.0021925244946032763,0.21909965574741364,0.0,0.0,0.0,0.0,1.0,6505.0,1.1828529843995115,0.0010473886504769325,0.0013880460755899549,0.0012324269628152251,0.16382360458374023,0.0010169072775170207,0.0013560372171923518,0.0012021924485452473,0.16350652277469635,0.008136449381709099,0.01614539884030819,-3.1410648822784424,-9.54365348815918,0.3888888888888889,0.21739132767138275,0.6063544649118526,0.02548195477216117,22.0390328290404,0.05518978834152222,0.05049741268157959,1.8894088999374896,True
8000,100,7010,8000,0.1685633286833763,1.9474555850028992,6.288954973220825,0.4701308459043503,0.08269678801298141,0.7337435185909271,0.0,0.0,0.007760949432849884,0.006145875668153167,1.0,240160.0,13.846033573150635,12.067652225494385,0.9361765384674072,0.0,0.0258763637393713,1.1121973991394043,0.024071981199085712,0.032432468608021736,0.65625,21.0,8.0,4.0,2.0,2.0,0.7852047979831696,0.0032957353396341205,0.6220238208770752,0.0,0.0,0.3192949891090393,0.18770680576562881,0.21428107470273972,0.35648348927497864,1.6528044939041138,0.0,0.3140684515237808,0.20211879163980484,0.22833094745874405,24.08955955505371,12.147458553314209,0.9437524676322937,0.0,0.0,1.1211899518966675,6049.98351804656,0.021304270951077342,0.004643720341846347,1.00048828125,5e-05,0.0846656784415245,0.06892720237374306,5.433125972747803,57.605777740478516,0.2026209682226181,0.002176459413021803,0.22100763767957687,0.0,0.0,0.0,0.0,1.0,7505.0,1.2404991220051687,0.00104195048334077,0.001382226007990539,0.0012262166710570455,0.16251128166913986,0.0010090676369145513,0.0013535009929910302,0.0011956178932450712,0.1622367724776268,0.0081224893219769,0.016137401573359966,-3.1900402307510376,-9.534703731536865,0.3888888888888889,0.24404763040088473,0.5864652230865879,0.02548554633785064,22.29095471874712,0.06382346153259277,0.0562475323677063,1.9071173910989625,True
9000,100,8010,9000,0.17001808434724808,1.938220202922821,6.259126901626587,0.47352614998817444,0.08230676874518394,0.7327592670917511,0.0,0.0,0.00788211589679122,0.006140494020655751,1.0,272160.0,13.846033573150635,11.538822650909424,0.9260510504245758,0.0,0.02544388175010681,1.060040533542633,0.02802765741944313,0.038793688639998436,0.65625,21.0,8.0,4.0,2.0,2.0,0.7460138499736786,0.0043947838712483644,0.6315789222717285,0.0,0.0,0.3250376731157303,0.20230107754468918,0.22200725972652435,0.36751246452331543,1.6942166090011597,0.0,0.3307763338088989,0.2155361995100975,0.23707985132932663,23.336261749267578,11.826503276824951,0.9392837285995483,0.0,0.0,1.087207555770874,6616.736770102056,0.021837056847289205,0.005043810466304421,1.0001301169395447,5e-05,0.08464913442730904,0.06689202412962914,5.620150804519653,60.38459777832031,0.19797328114509583,0.0023279307642951608,0.23408667743206024,0.0,0.0,0.0,0.0,1.0,8505.0,1.2853767313047952,0.0010845246724784374,0.001381299109198153,0.0012384243309497833,0.1631489023566246,0.0010515259928070009,0.0013563079410232604,0.001209757407195866,0.16284382343292236,0.008165749255567789,0.016143460758030415,-3.070770740509033,-9.558538436889648,0.4,0.2272727381099354,0.6244153690033265,0.027255619483842107,21.52718100403746,0.0739489495754242,0.06071627140045166,1.9028585095586186,True
10000,100,9010,10000,0.1705496981739998,1.9320430159568787,6.218514919281006,0.47535598278045654,0.08190742135047913,0.7323480248451233,0.0,0.0,0.007978979963809252,0.006048773415386677,1.0,304160.0,13.846033573150635,10.682518005371094,0.9030368030071259,0.0,0.025718658231198788,0.9809652268886566,0.03817050717771053,0.047630202025175095,0.65625,21.0,9.0,4.0,2.0,2.0,0.6993153989315033,0.004901032894849777,0.6818181872367859,0.0,0.0,0.36924001574516296,0.25133444368839264,0.2724876403808594,0.4073760211467743,1.7767253518104553,0.0,0.3713721036911011,0.25297811627388,0.2742346078157425,22.69127655029297,11.848065376281738,0.9338993430137634,0.0,0.0,1.0918947458267212,7167.521544571035,0.021569190081208944,0.0055603208020329475,0.9988211691379547,5e-05,0.0843021459877491,0.06561010703444481,5.67649245262146,61.185903549194336,0.19419588893651962,0.002351114759221673,0.260198712348938,0.0,0.0,0.0,0.0,1.0,9505.0,1.3261207976516247,0.0010782601311802864,0.0013698175316676497,0.0012346915900707245,0.16285685449838638,0.00104537105653435,0.0013486408279277384,0.0012044610921293497,0.16256596148014069,0.008144581224769354,0.016141269356012344,-3.2070246934890747,-9.634093761444092,0.4090909090909091,0.2727272700179707,0.7236269778321969,0.027957769770818937,21.002686341820606,0.09696319699287415,0.06610065698623657,1.9101349619713632,True
