window,step_start,step_stop,rows,metric,median,mean,p10,p90,mad
initial_1_500,1,500,51,loss,0.08590012788772583,0.09056890229968463,0.08460604399442673,0.08900342136621475,0.000998765230178833
initial_1_500,1,500,51,code_ordinal_loss,0.08280441910028458,0.08441158048078126,0.081334188580513,0.08431489020586014,0.0009255856275558472
initial_1_500,1,500,51,scale_ordinal_loss,0.0032664467580616474,0.006157321946731969,0.002624580869451165,0.005164713133126497,0.0004968608263880014
initial_1_500,1,500,51,scale_loss_fraction,0.03839045680534597,0.052699422808355614,0.030743099051844535,0.05859954099865107,0.005146140686855774
initial_1_500,1,500,51,code_accuracy,0.169643834233284,0.16761581818847096,0.16616781055927277,0.17316535115242004,0.002146124839782715
initial_1_500,1,500,51,code_off_by_one_accuracy,0.4723353385925293,0.46675918061359256,0.46508339047431946,0.4794921875,0.004163116216659546
initial_1_500,1,500,51,code_mean_absolute_bin_error,1.946000576019287,1.9888437986373901,1.9179904460906982,1.9670311212539673,0.01470029354095459
initial_1_500,1,500,51,scale_accuracy,0.056686047464609146,0.05556923156494603,0.03723404183983803,0.068359375,0.007302049547433853
initial_1_500,1,500,51,scale_off_by_one_accuracy,0.1678779125213623,0.16145190454142935,0.11801861226558685,0.1990327388048172,0.019622087478637695
initial_1_500,1,500,51,scale_mean_absolute_bin_error,6.398935794830322,7.963985022376566,5.686746597290039,8.70276165008545,0.49645090103149414
initial_1_500,1,500,51,hard_decode_raw_nrmse,1.0014234781265259,1.5837574869978661,1.0002245903015137,1.0108144283294678,0.0010945796966552734
initial_1_500,1,500,51,diagnostic_old_behavioral_operator_actual,0.026380404829978943,0.03643388129478576,0.024617379531264305,0.03261162340641022,0.001918245106935501
initial_1_500,1,500,51,operator_over_teacher_floor,21.64540919899946,29.11137192430183,19.24332424932368,25.97605855292178,2.4020849496757783
initial_1_500,1,500,51,diagnostic_old_behavioral_direction,0.9811323881149292,0.9755209438941058,0.9405124187469482,0.9991554617881775,0.014959752559661865
initial_1_500,1,500,51,diagnostic_old_structural_direction,0.9670825600624084,0.9641494482171302,0.9449580311775208,0.9873703122138977,0.012794196605682373
initial_1_500,1,500,51,diagnostic_old_direction_contrastive_loss,0.8852298855781555,0.9114155745973774,0.8059253096580505,1.0280457735061646,0.07320380210876465
initial_1_500,1,500,51,diagnostic_old_direction_contrastive_top1_accuracy,0.4000000059604645,0.40332018978455486,0.3333333432674408,0.5,0.050000011920928955
initial_1_500,1,500,51,contrastive_chance_top1,0.3888888888888889,0.38713772725797674,0.34782608695652173,0.43478260869565216,0.02777777777777779
initial_1_500,1,500,51,contrastive_top1_advantage,1.0837208130887177e-08,0.01618246252657814,-0.07999999880790709,0.10526316887453985,0.045454548163847475
initial_1_500,1,500,51,diagnostic_old_direction_contrastive_diagonal_minus_hardest_negative_mean,-0.0006383290165103972,-0.0016587839678973693,-0.0051877424120903015,0.0020473140757530928,0.0018793818890117109
initial_1_500,1,500,51,diagnostic_old_latent_interaction_rms_ratio,0.029461942613124847,0.04799033989947216,0.02697123773396015,0.035899750888347626,0.002600938081741333
initial_1_500,1,500,51,latent_interaction_rms_estimate,0.04808305270728419,0.06356497190351833,0.044775595828196124,0.05747114280986754,0.003718229742639023
initial_1_500,1,500,51,diagnostic_old_latent_rms,1.630733847618103,1.612271138266021,1.5876497030258179,1.66698157787323,0.027940988540649414
initial_1_500,1,500,51,grad_norm_pre_clip,0.019121602177619934,0.07529303852432206,0.010434185154736042,0.05366528406739235,0.006692190654575825
initial_1_500,1,500,51,teacher_continuous_scale_raw_nrmse,0.16253255307674408,0.16279174445890912,0.15556029975414276,0.1699971854686737,0.0033866912126541138
initial_1_500,1,500,51,teacher_continuous_scale_operator_metric,0.0012394915102049708,0.0012533207396593165,0.001161039574071765,0.0013685660669580102,4.954508040100336e-05
initial_1_500,1,500,51,steps_per_second,0.9643862349948268,0.8593497616683412,0.3232005941172927,1.2249853355553901,0.22320999854284096
initial_1_500,1,500,51,gptq_tokenizer_seconds,0.021260501816868782,0.030133555104554285,0.02075706096366048,0.023500630166381598,0.0003721499815583229
prior_plateau_510_1000,510,1000,50,loss,0.08534594252705574,0.08543844074010849,0.08389564380049705,0.08678743094205857,0.0006547197699546814
prior_plateau_510_1000,510,1000,50,code_ordinal_loss,0.08270618692040443,0.0826410011947155,0.08120901510119438,0.08408965319395065,0.0005980208516120911
prior_plateau_510_1000,510,1000,50,scale_ordinal_loss,0.002795364591293037,0.0027974400157108905,0.0022609100677073004,0.003330873907543719,0.00029408023692667484
