metric,slope_per_1000_steps,standard_error,p_value,rows,signature_fixed_slope_per_1000_steps,signature_fixed_standard_error,signature_fixed_rows,signature_fixed_signatures
loss,-0.00018702344764428958,7.02592133805143e-05,0.00816988306659116,316,,,,
code_ordinal_loss,-0.0001006228988325303,6.338214010789043e-05,0.11339247782208771,316,,,,
scale_ordinal_loss,-8.640067703169121e-05,2.2648768253928224e-05,0.0001641051812319037,316,,,,
hard_decode_raw_nrmse,-0.0003035547153004181,0.00012641055703727666,0.016916209405968722,316,,,,
diagnostic_old_behavioral_direction,-0.009240884004864985,0.0011202800310575565,4.4490877501482154e-15,316,,,,
diagnostic_old_structural_direction,-0.006144641519711026,0.0010904739893226397,3.899258087253982e-08,316,,,,
diagnostic_old_direction_contrastive_loss,-0.039391098008534,0.005035642652290861,7.952070757395394e-14,316,-0.041868415032922435,0.0026455593181864035,275.0,54.0
diagnostic_old_direction_contrastive_top1_accuracy,0.06794578768252367,0.005170241101972693,9.838950245043551e-32,316,0.06456520285243669,0.005872632193074409,275.0,54.0
contrastive_chance_top1,-0.0007284400307601352,0.0021731396502782116,0.7376967931978538,316,0.0,1.185759704877629e-18,275.0,54.0
contrastive_top1_advantage,0.06867422771328384,0.005030144754960391,1.234676969263344e-33,316,0.06456520285243669,0.005872632193074409,275.0,54.0
diagnostic_old_direction_contrastive_diagonal_similarity_mean,0.00981261772664996,0.0005513650799357499,1.752749603969993e-49,316,0.009780981630157611,0.0006393254298597232,275.0,54.0
diagnostic_old_direction_contrastive_offdiagonal_similarity_mean,0.0007976160027797537,0.00029686533155436946,0.0075982615665278865,316,0.000639041626998034,0.00036004342830504355,275.0,54.0
contrastive_diagonal_minus_offdiagonal,0.009015001723870205,0.000549570917934156,4.1485982975388827e-44,316,0.009141940003159578,0.0006375074248311791,275.0,54.0
diagnostic_old_direction_contrastive_diagonal_minus_hardest_negative_mean,0.008198152195367242,0.0004403246234451564,1.1879590191179582e-52,316,0.008271736392778806,0.0005236144719412959,275.0,54.0
diagnostic_old_behavioral_scale,-0.08292255066711982,0.010715278823636341,1.385070531116314e-13,316,,,,
diagnostic_old_structural_scale,-0.08245715516667279,0.008120316655992907,3.8970330792921194e-21,316,,,,
diagnostic_old_behavioral_operator_actual,-9.675485072019996e-05,0.0001904154687779013,0.6117224862758233,316,,,,
diagnostic_old_latent_interaction_rms_ratio,0.08436436079597648,0.0012037031551543394,8.487362548377231e-194,316,,,,
diagnostic_old_latent_rms,-0.032525000123287504,0.001118757650929644,4.6340006882541176e-91,316,,,,
